"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"1" 413.053693655016 413.793732393243 414.616891946516 416.127705894692 417.050609904951 416.222117494037 414.359964941339 412.155244308873 410.578601496077 411.043084589493 412.682938426158 414.091983914716 415.324897795904 416.05829787392 416.906838206394 418.437304297034 419.328787088938 418.492112043126 416.648259636342 414.435376906014 412.861400993258 413.326415600783 414.964413143318 416.370584308803 417.604827269508 418.337993756973 419.187455315668 420.718624243659 421.608987700621 420.772018042605 418.928820086404 416.715644919445 415.141764028252 415.606797907701 417.244729097226 418.650797181721
"2" 412.427619797903 413.354511218005 414.281389692542 415.58040091526 415.842132600999 415.33155544151 413.789049513083 412.226077446412 411.329046177796 411.342920641152 412.583021256624 413.714559121916 414.912286900735 415.646602184785 416.38192133129 417.627824281465 417.945242348911 417.507483599274 416.007741755642 414.447854964252 413.530749446024 413.526380343107 414.752803631089 415.884400924501 417.090243870267 417.831299598194 418.569221591399 419.813856223273 420.128646344042 419.689102148392 418.189043149905 416.629802318102 415.713485094959 415.709509762238 416.935926200069 418.067287540463
"3" 412.333346287121 413.333145889465 414.347278068126 415.048787096793 415.379767984863 415.011033062491 413.622734800907 411.99483748889 411.167994667235 411.330337697218 412.23015880279 413.30375689594 414.365081563976 415.454787960445 416.474184769026 417.138465449268 417.440449923546 417.029950945046 415.658831069816 414.015209720584 413.207122039868 413.375641684391 414.282958983798 415.3454861214 416.404853150703 417.493026518175 418.513395686677 419.179256568889 419.482000072327 419.072179931259 417.700349819929 416.05696076856 415.248476462786 415.416957441573 416.324176042181 417.386975257548
"4" 411.79829589064 412.88815439827 414.329726671501 415.083369643494 415.1235359304 414.648180227595 413.312402297937 412.016962034381 411.136764806538 411.1155337902 411.980652278834 413.103515572216 414.159108113302 415.027590659729 416.408637196522 417.171934598963 417.242189024571 416.781613606163 415.447798289594 414.148867295556 413.26585596991 413.243732155508 414.109266484602 415.232545219276 416.288316112011 417.156778363494 418.537763822731 419.301024097912 419.37127277371 418.910704121716 417.57689517388 416.277966353834 415.394954609122 415.372829864216 416.238363722428 417.36164240116
"5" 413.082394525473 413.837546926267 414.671294296881 415.70262178598 416.161711776801 415.685523927086 414.392905060942 412.711021886006 411.647265386405 411.705868035248 412.490432414344 413.840557494114 415.126386060125 416.062329936125 416.955479566476 417.978028422375 418.450480638328 417.955929858917 416.591228432161 414.961225230605 413.886139132116 413.966421291854 414.787762036574 416.155116483085 417.409807116615 418.33029448316 419.21819779724 420.241449923851 420.713151147992 420.220287750737 418.861309652379 417.227266250275 416.153007667871 416.231555162085 417.050013501477 418.41602848515
"6" 412.559962880464 413.411788425528 414.309118374248 415.510500535296 415.838215598101 415.357600412548 413.802162883565 412.278936297459 411.505164328036 411.471160993428 412.349010159144 413.296608926594 414.512163051555 415.49783265317 416.428401519645 417.583327685838 417.893085867225 417.418932892318 415.886461223376 414.390560187846 413.589746498802 413.557515773932 414.418648750397 415.3621438704 416.584167889089 417.574046943884 418.505642625761 419.659107779817 419.968301683964 419.494351297555 417.962596339421 416.467546028088 415.665890826834 415.633714921019 416.49432781075 417.437695324574
"7" 413.127355844386 413.956979734974 414.934209564916 415.964606108329 416.393693831847 415.550319585508 414.319222458542 412.751675930053 411.809420994173 411.981106589941 412.990347022294 414.123150813032 415.279193124747 416.243505969895 417.234459273309 418.220950975118 418.604763482132 417.737418653981 416.511495971026 414.951846824984 414.017538280912 414.194824444938 415.203228406752 416.333531092573 417.487462715156 418.451078587743 419.442322951901 420.42936202371 420.813530611735 419.946271542532 418.720251235182 417.160500522838 416.226135514136 416.403409881142 417.411834618079 418.542158628486
"8" 411.90322913053 413.412490884929 414.465944565908 415.362490266357 415.506008870707 414.973089347625 413.64091109109 412.283141775386 411.246987305889 411.305459931901 412.176835990319 413.629110442785 414.55810146654 415.602260954617 416.409277970855 417.381948563907 417.635129689266 417.17213820852 415.845422121823 414.457311070295 413.412363545945 413.450731633361 414.305698189435 415.730331137825 416.68310701173 417.740178087655 418.553705701868 419.524000794858 419.774079132425 419.309186396069 417.982368010414 416.595124253347 415.550415308735 415.589339816266 416.444765015677 417.870178024234
"9" 412.230368287198 413.64758959002 414.692287987779 415.619775806097 416.0351203609 415.249405259478 413.66331926871 412.105881197602 411.436009638515 411.322863428165 412.402622420866 413.459128218429 414.668459069559 415.798499877171 416.631720787561 417.577077158467 418.17234577556 417.515061220606 415.975894806553 414.339814710719 413.607740260704 413.461468995335 414.53378446977 415.613207906631 416.854823891974 417.992076071856 418.818238738993 419.751344646514 420.338417218718 419.681732259837 418.147144144528 416.516245564981 415.785148207034 415.637252066492 416.707828802731 417.786335750194
"10" 412.696780290712 413.798525856994 414.631460652571 415.568309614642 415.817510571824 415.324895016034 413.858789116267 412.412266927038 411.178911070908 411.425785989015 412.241231032085 413.497930376219 414.549397616228 415.676497262006 416.7232706441 417.79030675325 418.094057894642 417.578030441056 416.062871353011 414.601037059785 413.36196486603 413.544065707909 414.390401800177 415.685747085032 416.745664976052 417.868489452592 418.904206770702 419.965676635316 420.26783689221 419.753468385744 418.240631115078 416.779282871453 415.540260969224 415.725274121262 416.570217723977 417.863843662592
